date,feed_id,feed_name,integration_type,vertical,owner,event_count,expected_events,minutes_late,sla_minutes,duplicate_rate,baseline_duplicate_rate,schema_drift_fields,malformed_payload_rate,payout_variance_usd,data_gap_rate,impacted_customers,source_error_score,integration_error_score,severity_score,severity_band,issue_type,likely_owner,anomaly_reason,status
"2026-04-13","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",180454,184000,13,20,0.0107,0.012,2,0.0028,-954,0.0193,25,3,2,35,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",237489,242000,179,240,0.0175,0.018,0,0.0037,382,0.0186,43,0,1,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",99877,97000,14,15,0.0131,0.011,1,0.002,-974,0,20,2,2,31,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",65189,65000,6,10,0.0067,0.008,1,0.0043,-603,0,10,2,2,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",50751,52000,198,360,0.004,0.006,1,0.0052,-947,0.024,9,1,0,33,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",128845,128000,30,30,0.0127,0.01,0,0.0042,500,0,29,1,0,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",155835,156000,18,20,0.0111,0.013,1,0.0031,-154,0.0011,25,2,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",75226,73000,12,10,0.0059,0.007,0,0.0019,-648,0,13,1,2,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",114257,111000,312,300,0.0164,0.014,1,0.0039,485,0,24,0,1,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",82323,88000,18,20,0.0109,0.009,3,0.0046,390,0.0645,20,1,2,47,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",193510,195509,15,20,0.0119,0.012,0,0.0027,-408,0.0102,26,0,0,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",264040,257136,194,240,0.0172,0.018,0,0.002,-537,0,37,2,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",103360,103067,15,15,0.0114,0.011,4,0.0008,-262,0,19,1,1,41,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",71639,69066,10,10,0.0097,0.008,3,0.0039,310,0,12,1,2,39,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",53912,55252,247,360,0.0053,0.006,1,0.0036,549,0.0243,8,1,3,31,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",135530,136006,30,30,0.0083,0.01,0,0.001,1025,0.0035,29,3,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",166677,165757,23,20,0.0139,0.013,1,0.0042,-343,0,34,1,3,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",76832,77566,9,10,0.0041,0.007,1,0.0026,150,0.0095,12,0,1,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",118958,117943,224,300,0.0138,0.014,0,0.0029,-1125,0,18,3,1,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",94295,93504,19,20,0.0112,0.009,4,0.002,-1552,0,19,3,1,45,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",202155,198351,14,20,0.0121,0.012,1,0.0022,-361,0,23,1,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",264151,260875,119,240,0.0157,0.018,0,0.0017,1390,0,41,1,0,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",105679,104565,15,15,0.0096,0.011,0,0.0053,257,0,17,0,3,25,"Low","Baseline variation","Integration logic","within control band","Healthy"
